State,City,PM25,PM10,NO2,SO2,CO,O3,health_risk
Gujarat,Ahmedabad,48.57,95.68,18.22,27.64,0.92,133.36,High
Gujarat,Ahmedabad,48.57,95.68,15.69,24.55,0.97,34.06,Moderate
Gujarat,Ahmedabad,48.57,95.68,19.3,29.07,17.4,30.7,Moderate
Gujarat,Ahmedabad,48.57,95.68,18.48,18.59,1.7,36.08,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.42,39.33,22.1,39.31,Moderate
Gujarat,Ahmedabad,48.57,95.68,38.48,45.76,45.41,46.51,High
Gujarat,Ahmedabad,48.57,95.68,40.62,32.28,112.16,33.47,High
Gujarat,Ahmedabad,48.57,95.68,36.74,38.54,80.87,31.89,Moderate
Gujarat,Ahmedabad,48.57,95.68,31.0,58.68,29.16,25.75,High
Gujarat,Ahmedabad,48.57,95.68,7.04,8.29,0.89,4.55,Moderate
Gujarat,Ahmedabad,48.57,95.68,55.8,25.03,132.07,6.79,High
Gujarat,Ahmedabad,48.57,95.68,40.67,51.84,52.04,45.89,High
Gujarat,Ahmedabad,48.57,95.68,44.2,68.21,48.82,35.16,High
Gujarat,Ahmedabad,48.57,95.68,27.86,52.65,19.2,20.96,High
Gujarat,Ahmedabad,48.57,95.68,16.96,28.89,0.6,47.63,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.72,38.27,1.63,46.03,Moderate
Gujarat,Ahmedabad,48.57,95.68,24.73,49.5,11.44,52.24,High
Gujarat,Ahmedabad,48.57,95.68,25.77,48.43,6.1,53.49,High
Gujarat,Ahmedabad,48.57,95.68,26.88,50.03,2.51,49.48,High
Gujarat,Ahmedabad,48.57,95.68,26.8,58.87,7.92,56.37,High
Gujarat,Ahmedabad,48.57,95.68,33.56,106.93,9.52,48.75,High
Gujarat,Ahmedabad,48.57,95.68,17.51,23.71,9.05,42.22,Moderate
Gujarat,Ahmedabad,48.57,95.68,27.96,39.19,22.53,32.92,Moderate
Gujarat,Ahmedabad,48.57,95.68,20.39,40.07,2.03,32.49,High
Gujarat,Ahmedabad,48.57,95.68,20.43,58.41,1.42,39.26,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.16,43.73,2.27,39.83,High
Gujarat,Ahmedabad,48.57,95.68,21.7,43.28,2.19,41.1,High
Gujarat,Ahmedabad,73.24,95.68,21.11,36.52,5.72,62.42,High
Gujarat,Ahmedabad,83.13,95.68,28.71,49.52,6.93,59.76,High
Gujarat,Ahmedabad,79.84,95.68,28.68,48.49,13.85,97.07,High
Gujarat,Ahmedabad,94.52,95.68,32.66,67.39,24.39,111.33,High
Gujarat,Ahmedabad,135.99,95.68,42.08,75.23,43.48,102.7,High
Gujarat,Ahmedabad,178.33,95.68,35.31,55.04,54.56,107.38,High
Gujarat,Ahmedabad,139.7,95.68,28.4,33.79,30.61,73.6,High
Gujarat,Ahmedabad,80.65,95.68,22.83,25.73,2.37,47.3,High
Gujarat,Ahmedabad,58.36,95.68,21.39,32.66,2.6,53.54,High
Gujarat,Ahmedabad,79.29,95.68,26.94,67.41,1.16,59.3,High
Gujarat,Ahmedabad,88.7,95.68,31.32,80.09,7.29,44.76,High
Gujarat,Ahmedabad,74.28,95.68,27.3,54.28,8.92,47.42,High
Gujarat,Ahmedabad,113.93,95.68,24.27,48.73,4.32,39.94,High
Gujarat,Ahmedabad,105.39,95.68,18.21,35.91,1.41,56.15,High
Gujarat,Ahmedabad,66.52,95.68,23.8,66.58,6.34,53.14,High
Gujarat,Ahmedabad,65.04,95.68,30.1,65.91,14.19,31.88,High
Gujarat,Ahmedabad,103.36,95.68,39.56,80.43,18.18,40.11,High
Gujarat,Ahmedabad,177.33,95.68,47.58,99.72,37.49,36.47,High
Gujarat,Ahmedabad,113.25,95.68,30.5,69.71,15.55,33.78,High
Gujarat,Ahmedabad,99.7,95.68,28.1,73.23,19.85,30.57,High
Gujarat,Ahmedabad,80.61,95.68,21.04,54.7,15.96,36.2,High
Gujarat,Ahmedabad,100.79,95.68,25.93,43.11,16.24,37.43,High
Gujarat,Ahmedabad,107.99,95.68,30.09,84.86,11.25,31.94,High
Gujarat,Ahmedabad,140.29,95.68,36.14,101.53,33.84,40.98,High
Gujarat,Ahmedabad,239.96,95.68,46.25,84.87,61.95,33.55,High
Gujarat,Ahmedabad,142.96,95.68,48.21,62.96,45.45,34.77,High
Gujarat,Ahmedabad,238.41,95.68,55.07,89.07,77.7,37.3,High
Gujarat,Ahmedabad,118.72,95.68,32.01,61.54,12.56,38.8,High
Gujarat,Ahmedabad,52.99,95.68,10.45,32.76,2.23,67.25,High
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,48.57,95.68,21.69,9.16,0.89,30.84,Moderate
Gujarat,Ahmedabad,61.12,95.68,16.81,28.44,3.58,30.48,High
